name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
quezon city,10/17/2020,31.1,25,27.6,36.3,25,30.5,24.3,82.8,4.654,100,16.67,rain,0,0,24.8,17.7,61.9,1008.6,69.9,10.2,116.5,10,6,,2020-10-17T05:47:28,2020-10-17T17:34:35,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,ZCBU6,C6BR3,98430099999,F0027,98433099999,98425099999"
quezon city,10/18/2020,29.7,24.9,26.9,34.5,24.9,29.4,24.5,87,1.911,100,20.83,rain,0,0,24.1,13,0.1,1009,79.8,9.3,73.1,6.2,3,,2020-10-18T05:47:39,2020-10-18T17:34:00,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/19/2020,32,24.5,28.7,37.4,24.5,32.1,23.7,75.5,0.021,100,12.5,rain,0,0,33.8,18.3,37.8,1007.6,63.6,10.2,168.6,14.5,8,,2020-10-19T05:47:51,2020-10-19T17:33:26,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/20/2020,27.9,25.2,26.4,32.5,25.2,27.6,24.7,90.6,36.474,100,29.17,rain,0,0,49.3,23.5,248.6,1003.8,95.3,8.2,24.1,2,1,,2020-10-20T05:48:04,2020-10-20T17:32:52,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,98428099999,ZCBU6,98430099999,98425099999,RPLC,98327099999,98434099999,RPLL,C6BR3,F0027,98433099999"
quezon city,10/21/2020,31,25.7,27.8,35.8,25.7,30.6,23.9,79.7,0.442,100,20.83,rain,0,0,58,25.8,164.3,1003,85.2,9.4,131,11.4,6,,2020-10-21T05:48:17,2020-10-21T17:32:19,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,98428099999,ZCBU6,98430099999,98425099999,RPLC,98327099999,98434099999,RPLL,C6BR3,F0027,98433099999"
quezon city,10/22/2020,34.5,25.9,28.9,41.6,25.9,33.2,24.5,78.1,1.194,100,12.5,rain,0,0,50.4,29.1,191.7,1005.3,79.6,9.7,146.9,12.8,5,,2020-10-22T05:48:30,2020-10-22T17:31:47,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98432099999,98429099999,C6CX3,98428099999,ZCBU6,98430099999,98425099999,RPLC,98327099999,98434099999,RPLL,C6BR3,F0027,98433099999"
quezon city,10/23/2020,31.6,25.9,28.3,38.2,25.9,32.1,24.5,80.5,0.145,100,16.67,rain,0,0,34.6,28.8,232,1007.1,66.9,9.9,149.9,13,7,,2020-10-23T05:48:44,2020-10-23T17:31:16,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,ZCBU6,C6BR3,98430099999,F0027,98433099999,98425099999"
quezon city,10/24/2020,31.6,25.9,27.6,39,25.9,30.8,24.8,84.9,30.249,100,20.83,rain,0,0,26.3,16.1,253.3,1008.6,85.9,9.4,148.9,12.9,7,,2020-10-24T05:48:59,2020-10-24T17:30:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/25/2020,30.6,24.9,26.7,36.4,24.9,28.3,24.7,88.8,44.968,100,25,rain,0,0,55.1,25.8,322.2,1007,90.5,9,91.3,7.8,4,,2020-10-25T05:49:14,2020-10-25T17:30:16,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"98432099999,98429099999,C6CX3,98428099999,ZCBU6,98430099999,98425099999,RPLC,98327099999,RPLL,C6BR3,F0027,98433099999"
quezon city,10/26/2020,29.1,24.4,26.8,33.4,24.4,29,23.8,84.2,11.44,100,29.17,rain,0,0,69.8,37.4,59.1,1002,94.3,9.6,73.9,6.4,4,,2020-10-26T05:49:30,2020-10-26T17:29:47,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"98432099999,98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
quezon city,10/27/2020,31,25.7,28.2,35.5,25.7,31.7,23.4,75.6,0,0,0,,0,0,35.3,25.8,120,1007.2,81.5,10,158.3,13.6,7,,2020-10-27T05:49:46,2020-10-27T17:29:19,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,ZCBU6,C6BR3,98430099999,F0027,98433099999,98425099999"
quezon city,10/28/2020,32.7,26.1,28.5,39.1,26.1,31.4,23.6,76,1.767,100,12.5,rain,0,0,32.4,16,150.2,1011.2,66.1,9.9,239.7,20.6,9,,2020-10-28T05:50:03,2020-10-28T17:28:52,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,10/29/2020,30.4,24.2,27.2,35.8,24.2,29.8,24.5,85.7,3.575,100,12.5,rain,0,0,26.3,16.1,347.1,1011.5,62.3,9.2,135.6,11.7,6,,2020-10-29T05:50:21,2020-10-29T17:28:26,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
quezon city,10/30/2020,33.2,24.9,28.9,40.7,24.9,32.8,24.3,77.4,1.798,100,12.5,rain,0,0,37.1,12.6,13.6,1010.1,69.6,10.5,184.3,16,8,,2020-10-30T05:50:39,2020-10-30T17:28:02,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
quezon city,10/31/2020,33.7,23.3,29.2,37.8,23.3,32.4,22.7,69.1,0.066,100,8.33,rain,0,0,41.4,23.8,33.5,1008.3,66.4,10.3,149,12.9,8,,2020-10-31T05:50:58,2020-10-31T17:27:38,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98432099999,98429099999,C6CX3,98428099999,ZCBU6,98430099999,98425099999,RPLC,98327099999,98434099999,RPLL,C6BR3,F0027,98433099999"
quezon city,11/1/2020,27.8,21.8,24.6,31.6,21.8,24.9,22.2,86.9,20.82,100,25,rain,0,0,76.7,31,345.1,1004,95.7,8.4,21.6,1.8,1,,2020-11-01T05:51:17,2020-11-01T17:27:15,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"98432099999,98429099999,C6CX3,98428099999,ZCBU6,98430099999,98425099999,RPLC,98327099999,98434099999,RPLL,C6BR3,F0027,98433099999"
quezon city,11/2/2020,31.5,24.1,27.5,36.2,24.1,29.8,23.6,80,5.708,100,8.33,rain,0,0,62.6,17.5,144.8,1007.6,84.9,9.8,129.2,11.1,6,,2020-11-02T05:51:38,2020-11-02T17:26:53,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,11/3/2020,33.1,24.2,28.3,40.4,24.2,31.6,24.3,80.4,2.625,100,12.5,rain,0,0,17.6,19.3,191.1,1009.9,63,10,183.9,15.9,7,,2020-11-03T05:51:58,2020-11-03T17:26:32,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,98425099999"
quezon city,11/4/2020,30.4,25.2,27.2,34.9,25.2,29.9,24.2,84,7.491,100,12.5,rain,0,0,19.8,15.7,132.7,1010.8,75.9,9.7,111.5,9.7,7,,2020-11-04T05:52:19,2020-11-04T17:26:12,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,F0027,98433099999,98425099999"
quezon city,11/5/2020,31.4,25.1,27.8,36.6,25.1,30.4,23.8,79.3,0.009,100,4.17,rain,0,0,18.4,7.9,197.2,1011.5,79.1,9.9,100.7,8.6,4,,2020-11-05T05:52:41,2020-11-05T17:25:53,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,ZCBU6,98430099999,98433099999,E0758,98425099999"
quezon city,11/6/2020,32.7,25.5,28.6,37.9,25.5,31.9,23.9,76.6,0,0,0,,0,0,15.5,14.6,116.8,1011.7,67.3,10,124.9,10.8,6,,2020-11-06T05:53:04,2020-11-06T17:25:35,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,C6CX3,98428099999,ZCBU6,98430099999,E0758,98425099999,RPLC,98327099999,RPLL,C6BR3,F0027,98433099999"
quezon city,11/7/2020,31,24.3,27.3,36.2,24.3,29.5,23.6,80.9,1.992,100,12.5,rain,0,0,29.9,13.6,41,1010.7,75.9,9.6,105,9.1,6,,2020-11-07T05:53:27,2020-11-07T17:25:19,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,E0758,98425099999"
quezon city,11/8/2020,32,23.1,27.5,38.1,23.1,30.5,23.8,81.3,8.876,100,16.67,rain,0,0,47.9,23.9,52.8,1007.2,84.9,9.6,107.5,9.3,5,,2020-11-08T05:53:51,2020-11-08T17:25:03,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98432099999,98429099999,C6CX3,98428099999,98430099999,E0758,98425099999,RPLC,98327099999,RPLL,C6BR3,F0027,98433099999"
quezon city,11/9/2020,31.1,25.1,27.7,36.7,25.1,30.8,24.3,82.3,1.901,100,12.5,rain,0,0,32.8,14.4,34.6,1008.5,75.1,9.2,72.2,6.2,4,,2020-11-09T05:54:15,2020-11-09T17:24:49,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,E0758,98425099999"
quezon city,11/10/2020,31,24.7,27.2,36.6,24.7,29.5,24.4,85.5,8.261,100,29.17,rain,0,0,25.6,13.3,48.5,1010,81.1,9.7,83.5,7.3,3,,2020-11-10T05:54:40,2020-11-10T17:24:36,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98432099999,98429099999,C6CX3,98428099999,98430099999,E0758,98425099999,RPLC,98327099999,98434099999,RPLL,C6BR3,98433099999"
quezon city,11/11/2020,28.5,25.1,26.3,33.4,25.1,27.4,24.4,89.4,31.064,100,20.83,rain,0,0,75.6,23.5,315.3,1006.2,94.6,8.9,59.3,5.2,4,,2020-11-11T05:55:05,2020-11-11T17:24:24,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"98432099999,98429099999,C6CX3,98428099999,98430099999,E0758,98425099999,RPLC,98327099999,98434099999,RPLL,F0027,98433099999"
quezon city,11/12/2020,28.1,25,26.2,32.8,25,27.8,24.5,90.5,179.015,100,25,rain,0,0,88.9,41.2,185.4,1003.8,98.2,7.5,32.4,2.9,2,,2020-11-12T05:55:31,2020-11-12T17:24:13,0.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"98432099999,98429099999,C6CX3,98428099999,98430099999,E0758,98425099999,RPLC,98327099999,RPLL,C6BR3,F0027,98433099999"
quezon city,11/13/2020,33,26,29.2,39,26,33.6,24.4,76.4,0,0,0,,0,0,42.5,22.2,121,1008.9,50.1,10.5,142,12.1,6,,2020-11-13T05:55:58,2020-11-13T17:24:03,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,E0758,98425099999"
quezon city,11/14/2020,32.7,25,28.6,39.1,25,32.7,24.4,78.3,5.726,100,8.33,rain,0,0,31.7,20.2,88.2,1010.9,49.1,10.1,86,7.7,5,,2020-11-14T05:56:25,2020-11-14T17:23:54,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/15/2020,31.8,25.1,28.2,37.3,25.1,31.6,23.9,78.1,0.035,100,16.67,rain,0,0,28.1,14.1,66.4,1012,58.2,10.2,92.2,7.9,3,,2020-11-15T05:56:53,2020-11-15T17:23:47,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/16/2020,31.8,24.5,28.3,36.9,24.5,31.4,23.7,76.9,0.938,100,12.5,rain,0,0,32.4,18,71.5,1011.1,47,9.9,81.8,6.9,4,,2020-11-16T05:57:21,2020-11-16T17:23:40,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/17/2020,32.9,24.7,28.3,40.2,24.7,31,23.5,76.4,1.959,100,4.17,rain,0,0,29.5,18.1,98.4,1010,60.6,10.5,136.3,11.8,7,,2020-11-17T05:57:50,2020-11-17T17:23:35,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,E0758,98425099999"
quezon city,11/18/2020,32.1,24.2,28.3,37.9,24.2,31.7,23.7,77,2.782,100,4.17,rain,0,0,29.5,17.7,104,1009.7,43.3,10,119,10.3,7,,2020-11-18T05:58:19,2020-11-18T17:23:31,0.1,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/19/2020,32.3,25,28.5,40.4,25,32.2,23.9,76.5,0,0,0,,0,0,20.2,13.4,28.3,1009.8,43.1,9.5,122,10.7,5,,2020-11-19T05:58:49,2020-11-19T17:23:29,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/20/2020,32.3,23.5,28.5,39,23.5,32,23.5,75.1,0,0,0,,0,0,27.7,14.6,327.4,1009.4,45.4,9.8,107.2,9.1,5,,2020-11-20T05:59:19,2020-11-20T17:23:27,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/21/2020,33.9,24.5,28.6,36.3,24.5,30.8,22.2,70.2,1.904,100,8.33,rain,0,0,33.5,21.2,67.9,1010.3,51.8,9.6,130.5,11.3,5,,2020-11-21T05:59:50,2020-11-21T17:23:27,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/22/2020,33,24.3,28,38,24.3,29.8,21.3,68.3,0,0,0,,0,0,36.4,25,47,1011.7,42,9.8,144.7,12.6,7,,2020-11-22T06:00:21,2020-11-22T17:23:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/23/2020,31.8,23.2,27.3,33.7,23.2,28.5,20.7,68.2,0.657,100,12.5,rain,0,0,54,36.3,53.4,1012,61.8,9.8,115.7,9.9,6,,2020-11-23T06:00:52,2020-11-23T17:23:30,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/24/2020,32.1,22.7,27.5,33.7,22.7,28.4,19.8,64.2,0.002,100,4.17,rain,0,0,50.4,28,50.9,1011.6,41.9,9.8,141.8,12.1,6,,2020-11-24T06:01:24,2020-11-24T17:23:33,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/25/2020,31.5,22.9,27.3,33.5,22.9,28.3,20.3,66.6,0.842,100,12.5,rain,0,0,61.2,18.7,49.5,1011.3,59.5,9.7,108.7,9.4,7,,2020-11-25T06:01:56,2020-11-25T17:23:37,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/26/2020,32,23.1,28.1,35.8,23.1,29.7,21,66.2,0.199,100,4.17,rain,0,0,36,23.3,34,1010.9,70.2,10.2,122.3,10.5,6,,2020-11-26T06:02:28,2020-11-26T17:23:43,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/27/2020,29,24.7,26.8,34.4,24.7,29.2,24.1,85.8,1.574,100,12.5,rain,0,0,36.4,18.9,351.7,1010.5,85.3,9.5,55,4.6,3,,2020-11-27T06:03:01,2020-11-27T17:23:50,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,F0027,98433099999,E0758,98425099999"
quezon city,11/28/2020,31.3,25,27.7,37.4,25,30.5,24,80.5,0.018,100,12.5,rain,0,0,36,18.8,26.7,1010.9,69.3,9.6,93.9,8,4,,2020-11-28T06:03:34,2020-11-28T17:23:58,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/29/2020,28.9,23.9,26.1,33.3,23.9,27.1,23.7,86.9,6.773,100,29.17,rain,0,0,44.6,40.2,6.7,1010.9,78.6,9,96.3,8.5,4,,2020-11-29T06:04:08,2020-11-29T17:24:07,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,11/30/2020,31.9,24,27.1,35.7,24,28.6,22.2,76.3,4.73,100,12.5,rain,0,0,47.5,23.8,48.1,1011.1,62.4,9.7,111.1,9.6,4,,2020-11-30T06:04:41,2020-11-30T17:24:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
quezon city,12/1/2020,32,23.9,27.6,34.9,23.9,29.2,20.7,66.8,0,0,0,,0,0,32.4,27.9,30.4,1010.4,65.6,9.4,145,12.4,6,,2020-12-01T06:05:15,2020-12-01T17:24:28,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,RPLC,98327099999,98428099999,RPLL,C6BR3,98430099999,98433099999,E0758,98425099999"
